City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Kaoma,ZM,-14.7833,24.8,69.96,82,82,3.69,broken clouds
328,Avera,US,33.194,-82.5271,39.7,75,98,8.05,overcast clouds
329,Travagliato,IT,45.5191,10.0805,58.87,18,0,14.97,clear sky
330,Businga,CD,3.3333,20.8833,97.41,12,61,4.92,broken clouds
331,Kavieng,PG,-2.5744,150.7967,81.57,77,95,3.78,overcast clouds
332,Kudahuvadhoo,MV,2.6708,72.8944,81.7,73,47,12.73,scattered clouds
333,Bathsheba,BB,13.2167,-59.5167,83.01,69,40,20.71,scattered clouds
334,Cravo Norte,CO,6.3017,-70.2041,89.98,41,80,11.63,broken clouds
335,Tarbagatay,RU,51.4803,107.3602,8.13,94,100,3.11,overcast clouds
336,Torata,PE,-17.0769,-70.8433,66.36,48,19,7.74,few clouds
337,Tyrma,RU,50.0833,132.1667,-12.12,100,85,1.16,overcast clouds
338,Chajul,GT,15.4853,-91.0342,51.57,66,30,3.04,scattered clouds
339,Port-Gentil,GA,-0.7193,8.7815,87.76,66,40,10.36,scattered clouds
340,Teberda,RU,43.4456,41.7448,22.01,79,99,8.75,overcast clouds
341,Henties Bay,NA,-22.116,14.2845,70.68,82,98,10.51,overcast clouds
342,Litovko,RU,49.2361,135.1742,-12.21,100,100,1.88,overcast clouds
343,Ust-Nera,RU,64.5667,143.2,-27.02,75,21,0.78,few clouds
